,,,,,Targe,tRPJM,N 202,1: 85%,,,,,,,,,,,,,,,,,,,
16,Banten,2.879,92,136,3107,1.744,"60,6",65,"70,7",82,"60,3",1.891,"60,9",,,,,,,,,,,,,,
17,Bali,1.557,197,120,1874,1.020,"65,5",118,"59,9",75,"62,5",1.213,"64,7",,,,,,,,,,,,,,
18,Nusa Tenggara Barat,1.816,51,94,1961,671,"36,9",19,"37,3",20,"21,3",710,"36,2",,,,,,,,,,,,,,
19,Nusa Tenggara Timur,1.578,98,102,1778,477,"30,2",41,"41,8",40,"39,2",558,"31,4",,,,,,,,,,,,,,
20,Kalimantan Barat,970,50,119,1139,524,"54,0",14,"28,0",41,"34,5",579,"50,8",,,,,,,,,,,,,,
21,Kalimantan Tengah,1.286,78,110,1474,871,"67,7",52,"66,7",81,"73,6",1.004,"68,1",,,,,,,,,,,,,,
22,Kalimantan Selatan,900,40,79,1019,469,"52,1",25,"62,5",43,"54,4",537,"52,7",,,,,,,,,,,,,,
23,Kalimantan Timur,2.360,77,173,2610,1.645,"69,7",41,"53,2",139,"80,3",1.825,"69,9",,,,,,,,,,,,,,
24,Kalimantan Utara,379,14,20,413,215,"56,7",9,"64,3",15,"75,0",239,"57,9",,,,,,,,,,,,,,
25,Sulawesi Utara,25,9,20,54,21,"84,0",1,"11,1",7,"35,0",29,"53,7",,,,,,,,,,,,,,
26,Sulawesi Tengah,1.174,115,81,1370,585,"49,8",61,"53,0",48,"59,3",694,"50,7",,,,,,,,,,,,,,
27,Sulawesi Selatan,3.493,441,322,4256,2.559,"73,3",212,"48,1",185,"57,5",2.956,"69,5",,,,,,,,,,,,,,
28,Sulawesi Tenggara,1.938,194,161,2293,961,"49,6",114,"58,8",83,"51,6",1.158,"50,5",,,,,,,,,,,,,,
29,Gorontalo,96,40,53,189,59,"61,5",6,"15,0",6,"11,3",71,"37,6",,,,,,,,,,,,,,
30,Sulawesi Barat,1.119,95,80,1294,721,"64,4",67,"70,5",58,"72,5",846,"65,4",,,,,,,,,,,,,,
31,Maluku,0,1,1,2,0,"0,0",0,"0,0",1,"100,0",1,"50,0",,,,,,,,,,,,,,
32,Maluku Utara,198,7,49,254,120,"60,6",2,"28,6",28,"57,1",150,"59,1",,,,,,,,,,,,,,
33,Papua Barat,370,11,69,450,190,"51,4",6,"54,5",34,"49,3",230,"51,1",,,,,,,,,,,,,,
34,Papua,472,28,100,600,323,"68,4",19,"67,9",74,"74,0",416,"69,3",,,,,,,,,,,,,,
Indonesia,,68.580,4.733,5.519,78.832,41.394,"60,4",2.618,"55,3",3.319,"60,1",47.331,"60,0",,,,,,,,,,,,,,
No,Provinsi,Jumlah RS dan Puskesmas,Jumlah RS dan Puskesmas yang Melakukan Pengelolaan Limbah Medis,%,,,,,,,,,,,,,,,,,,,,,,,
(1),(2),(3),(4),(5),,,,,,,,,,,,,,,,,,,,,,,
1,Aceh,423,7,"1,7",,,,,,,,,,,,,,,,,,,,,,,
2,Sumatera Utara,780,126,"16,2",,,,,,,,,,,,,,,,,,,,,,,
3,Sumatera Barat,356,23,"6,5",,,,,,,,,,,,,,,,,,,,,,,
4,Riau,294,86,"29,3",,,,,,,,,,,,,,,,,,,,,,,
5,Jambi,235,31,"13,2",,,,,,,,,,,,,,,,,,,,,,,
6,Sumatera Selatan,405,90,"22,2",,,,,,,,,,,,,,,,,,,,,,,
7,Bengkulu,209,87,"41,6",,,,,,,,,,,,,,,,,,,,,,,
8,Lampung,401,313,"78,1",,,,,,,,,,,,,,,,,,,,,,,
9,Kepulauan Bangka Belitung,86,38,"44,2",,,,,,,,,,,,,,,,,,,,,,,
10,Kepulauan Riau,112,40,"35,7",,,,,,,,,,,,,,,,,,,,,,,
11,DKI Jakarta,512,137,"26,8",,,,,,,,,,,,,,,,,,,,,,,
12,Jawa Barat,1399,231,"16,5",,,,,,,,,,,,,,,,,,,,,,,
13,Jawa Tengah,1176,585,"49,7",,,,,,,,,,,,,,,,,,,,,,,
14,DI Yogyakarta,196,76,"38,8",,,,,,,,,,,,,,,,,,,,,,,
15,Jawa Timur,1339,647,"48,3",,,,,,,,,,,,,,,,,,,,,,,
16,Banten,339,215,"63,4",,,,,,,,,,,,,,,,,,,,,,,
17,Bali,177,31,"17,5",,,,,,,,,,,,,,,,,,,,,,,
18,Nusa Tenggara Barat,198,17,"8,6",,,,,,,,,,,,,,,,,,,,,,,
19,Nusa Tenggara Timur,440,10,"2,3",,,,,,,,,,,,,,,,,,,,,,,
20,Kalimantan Barat,294,44,"15,0",,,,,,,,,,,,,,,,,,,,,,,
21,Kalimantan Tengah,230,16,"7,0",,,,,,,,,,,,,,,,,,,,,,,
22,Kalimantan Selatan,277,12,"4,3",,,,,,,,,,,,,,,,,,,,,,,
23,Kalimantan Timur,236,107,"45,3",,,,,,,,,,,,,,,,,,,,,,,
24,Kalimantan Utara,64,5,"7,8",,,,,,,,,,,,,,,,,,,,,,,
25,Sulawesi Utara,240,47,"19,6",,,,,,,,,,,,,,,,,,,,,,,
26,Sulawesi Tengah,248,77,"31,0",,,,,,,,,,,,,,,,,,,,,,,
27,Sulawesi Selatan,568,276,"48,6",,,,,,,,,,,,,,,,,,,,,,,
28,Sulawesi Tenggara,324,11,"3,4",,,,,,,,,,,,,,,,,,,,,,,
29,Gorontalo,110,1,"0,9",,,,,,,,,,,,,,,,,,,,,,,
30,Sulawesi Barat,108,11,"10,2",,,,,,,,,,,,,,,,,,,,,,,
31,Maluku,243,10,"4,1",,,,,,,,,,,,,,,,,,,,,,,
32,Maluku Utara,160,2,"1,3",,,,,,,,,,,,,,,,,,,,,,,
33,Papua Barat,181,3,"1,7",,,,,,,,,,,,,,,,,,,,,,,
34,Papua,471,9,"1,9",,,,,,,,,,,,,,,,,,,,,,,
Indonesia,,12.831,3.421,"26,7",,,,,,,,,,,,,,,,,,,,,,,
